49
Feature_ID,AvgMisorientations,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,Centroids_0,Centroids_1,Centroids_2,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,Sphericity,SurfaceAreaVolumeRatio,SurfaceFeatures,Volumes,surface
1,45.822422,0.52541733,0.70275456,0.022556955,0.47912818,6.4548388,3.3516128,2.6290324,4.0233464,2.1410608,2.1657498,7,1,0.029487295,164,1,155,0.58064514
2,44.52689,0.49648196,0.23105259,-0.83650637,0.019427212,13.341122,9.4158878,3.6028037,5.1247387,1.1590168,4.2535992,7,1,0.029487295,164,1,107,0.74766356
3,36.691441,-0.82023346,0.11776148,0.55376559,0.081810348,2.9147582,7.3142495,8.7315521,4.7164664,1.9533615,5.0016589,14,1,0.014566014,332,1,393,0.4351145
4,41.628105,0.69416827,0.13589515,0.47867107,0.52013171,18.644444,9.2222223,9.4444447,2.5910029,1.5714705,2.2043591,8,1,0.042051449,115,1,90,0.67777777
5,35.862907,0.89236051,-0.15543763,-0.29212102,0.30691534,3.4288538,2.4249012,13.79249,3.7298422,2.2665141,4.0747557,8,1,0.023589836,205,1,253,0.41106719
6,34.572174,-0.7859748,0.27707422,-0.17596462,0.52393699,18.23913,2.7173913,12.594203,6.2682791,1.9703996,0.66293544,8,1,0.034542263,140,1,138,0.5
7,36.620647,0.89424378,-0.34919545,-0.13173331,0.24705678,16.242516,5.7455091,2.0089819,3.259171,2.574039,4.0037379,8,1,0.027168071,178,1,167,0.49101797
8,35.730984,0.15103586,-0.33014882,0.17242487,0.91567439,18.722221,13.777778,10,1.8137274,0.74309242,4.0972095,6,1,0.056231588,86,1,54,0.74074072
9,29.94245,0.85070276,0.37438717,0.30773917,0.20355737,16.625,18.7125,18.0375,2.5697699,2.3857911,1.7406026,3,1,0.067165509,72,1,80,0.5
10,37.665596,-0.053450838,0.31728378,0.25844103,0.91086894,6.6868134,8.0494509,18.785715,4.6028214,0.655164,1.1274352,8,1,0.038687333,125,1,91,0.63736266
