GBManhattanDistances FeatureIds
3 4
3 4
2 4
1 4
0 4
0 5
1 5
2 5
3 5
4 5
2 4
3 4
2 4
1 4
0 4
0 5
1 5
2 5
3 5
3 5
1 4
2 4
2 4
1 4
0 4
0 5
0 5
1 5
2 5
2 5
0 4
1 4
1 4
0 4
0 2
0 2
0 2
0 5
1 5
1 5
0 7
0 4
0 4
0 2
1 2
1 2
1 2
0 2
0 5
0 5
1 7
0 7
0 7
0 2
1 2
2 2
2 2
1 2
0 2
0 2
2 7
1 7
0 7
0 2
1 2
2 2
3 2
2 2
1 2
1 2
2 7
1 7
0 7
0 2
1 2
2 2
3 2
3 2
2 2
2 2
1 7
0 7
0 2
1 2
2 2
3 2
3 2
3 2
2 2
2 2
1 7
0 7
0 2
1 2
2 2
2 2
3 2
2 2
2 2
1 2
3 4
3 4
2 4
1 4
0 4
0 5
1 5
2 5
3 5
4 5
2 4
3 4
2 4
1 4
0 4
0 5
1 5
2 5
3 5
3 5
1 4
2 4
2 4
1 4
0 4
0 5
1 5
1 5
2 5
2 5
0 4
1 4
1 4
0 4
0 2
0 5
0 5
0 5
1 5
1 5
0 7
0 4
0 4
0 2
1 2
0 2
0 2
0 2
0 5
0 5
1 7
0 7
0 7
0 2
1 2
1 2
1 2
1 2
0 2
0 2
2 7
1 7
0 7
0 2
1 2
2 2
2 2
2 2
1 2
1 2
2 7
1 7
0 7
0 2
1 2
2 2
3 2
2 2
2 2
1 2
2 7
1 7
0 7
0 2
1 2
2 2
2 2
2 2
1 2
1 2
1 7
0 7
0 3
0 2
1 2
1 2
2 2
1 2
1 2
0 2
3 4
3 4
2 4
1 4
0 4
0 5
1 5
2 5
3 5
4 5
2 4
2 4
2 4
1 4
0 4
0 5
1 5
2 5
3 5
4 5
1 4
1 4
1 4
1 4
0 4
0 5
1 5
2 5
2 5
3 5
0 4
0 4
0 4
0 4
0 5
0 5
0 5
1 5
1 5
2 5
0 7
0 7
0 7
0 2
0 2
0 2
0 2
0 5
0 5
1 5
1 7
1 7
0 7
0 2
1 2
1 2
1 2
0 2
0 2
0 5
2 7
1 7
0 7
0 2
1 2
2 2
2 2
1 2
1 2
0 2
2 7
1 7
0 7
0 2
1 2
2 2
2 2
1 2
1 2
0 2
1 7
1 7
0 7
0 2
1 2
1 2
1 2
1 2
0 2
0 2
0 7
0 7
0 3
0 3
0 2
0 2
1 2
0 2
0 2
0 6
3 4
3 4
2 4
1 4
0 4
0 5
1 5
2 5
2 5
3 5
2 4
2 4
2 4
1 4
0 4
0 5
1 5
2 5
3 5
3 5
1 4
1 4
1 4
0 4
0 5
1 5
2 5
2 5
2 5
3 5
0 4
0 4
0 4
0 4
0 5
0 5
1 5
1 5
1 5
2 5
0 7
0 7
0 7
0 2
0 2
0 2
0 5
0 5
0 5
1 5
1 7
1 7
0 7
0 2
0 2
1 2
0 2
0 2
0 2
0 5
1 7
1 7
0 7
0 2
0 2
1 2
1 2
1 2
0 2
0 6
1 7
1 7
0 7
0 3
0 2
1 2
1 2
0 2
0 2
0 6
0 7
0 7
0 3
0 3
0 2
0 2
0 2
0 2
0 6
0 6
0 3
0 3
1 3
1 3
0 3
0 3
0 2
0 6
0 6
1 6
3 4
2 4
2 4
1 4
0 4
0 5
1 5
1 5
1 5
2 5
2 4
2 4
1 4
1 4
0 4
0 5
1 5
1 5
2 5
2 5
1 4
1 4
1 4
0 4
0 5
1 5
1 5
2 5
2 5
2 5
0 4
0 4
0 4
0 4
0 5
0 5
1 5
1 5
1 5
1 5
0 7
0 7
0 3
0 3
0 3
0 2
0 5
0 5
0 5
0 5
0 7
0 7
0 3
0 3
0 3
0 2
0 2
0 2
0 2
0 6
0 7
0 7
0 3
0 3
0 3
0 2
0 2
0 2
0 6
1 6
0 7
0 7
0 3
1 3
0 3
0 2
0 2
0 6
0 6
1 6
0 3
0 3
1 3
1 3
0 3
0 3
0 6
0 6
1 6
1 6
1 3
1 3
2 3
2 3
1 3
0 3
0 6
1 6
1 6
2 6
2 4
1 4
1 4
0 4
0 1
0 1
0 5
0 5
0 5
1 5
2 4
1 4
0 4
0 4
0 1
0 1
0 5
0 5
1 5
1 5
1 4
1 4
1 4
0 4
0 5
0 5
0 5
1 5
1 5
1 5
0 4
0 4
0 4
0 3
0 3
0 5
1 5
1 5
1 5
1 5
0 3
0 3
0 3
1 3
1 3
0 3
0 5
0 5
0 5
0 5
0 3
0 3
1 3
1 3
1 3
0 3
0 3
0 6
0 6
0 6
0 3
0 3
1 3
1 3
1 3
0 3
0 3
0 6
1 6
1 6
0 3
0 3
1 3
2 3
1 3
0 3
0 3
0 6
1 6
2 6
1 3
1 3
2 3
2 3
1 3
1 3
0 3
0 6
1 6
2 6
2 3
2 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
3 6
1 4
0 4
0 4
0 1
1 1
1 1
0 1
0 1
0 1
0 5
1 4
0 4
0 1
0 1
1 1
1 1
0 1
0 1
0 5
0 5
0 4
0 4
0 4
0 1
0 1
0 1
0 1
0 5
0 5
0 5
0 3
0 3
0 3
0 3
0 1
0 1
0 5
0 5
0 5
0 5
1 3
1 3
1 3
1 3
0 3
0 3
0 3
0 5
0 6
0 6
1 3
1 3
2 3
2 3
1 3
1 3
0 3
0 6
1 6
1 6
1 3
1 3
2 3
2 3
2 3
1 3
0 3
0 6
1 6
2 6
1 3
1 3
2 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
2 3
2 3
3 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
3 3
3 3
4 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
0 4
0 1
0 1
1 1
2 1
2 1
1 1
1 1
1 1
0 1
0 4
0 1
1 1
1 1
2 1
2 1
1 1
1 1
0 1
0 1
0 4
0 1
0 1
1 1
1 1
1 1
1 1
0 1
0 1
0 1
0 3
0 3
0 3
0 1
0 1
0 1
0 1
0 1
0 1
0 5
1 3
1 3
1 3
0 3
0 3
0 3
0 3
0 6
0 6
0 6
2 3
2 3
2 3
1 3
1 3
1 3
0 3
0 6
1 6
1 6
2 3
2 3
3 3
2 3
2 3
1 3
0 3
0 6
1 6
2 6
2 3
2 3
3 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
3 3
3 3
4 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
4 3
4 3
4 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
0 1
1 1
1 1
2 1
3 1
3 1
2 1
2 1
2 1
1 1
0 1
1 1
2 1
2 1
3 1
3 1
2 1
2 1
1 1
1 1
0 1
0 1
1 1
1 1
2 1
2 1
2 1
1 1
1 1
1 1
0 3
0 3
0 1
0 1
1 1
1 1
1 1
1 1
1 1
0 1
1 3
1 3
0 3
0 3
0 1
0 1
0 1
0 1
0 1
0 6
2 3
2 3
1 3
1 3
0 3
0 3
0 3
0 6
0 6
1 6
3 3
3 3
2 3
2 3
1 3
1 3
0 3
0 6
1 6
2 6
3 3
3 3
3 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
4 3
4 3
4 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
5 3
5 3
4 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
1 1
2 1
2 1
3 1
4 1
4 1
3 1
3 1
3 1
2 1
1 1
2 1
2 1
3 1
3 1
3 1
3 1
3 1
2 1
2 1
1 1
1 1
1 1
2 1
2 1
2 1
2 1
2 1
2 1
2 1
0 1
0 1
0 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
0 3
0 3
0 3
0 1
0 1
0 1
0 1
0 1
0 1
0 1
1 3
1 3
1 3
0 3
0 3
0 3
0 3
0 6
0 6
0 6
2 3
2 3
2 3
1 3
1 3
1 3
0 3
0 6
1 6
1 6
3 3
3 3
3 3
2 3
2 3
1 3
0 3
0 6
1 6
2 6
4 3
4 3
4 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
5 3
5 3
4 3
3 3
2 3
1 3
0 3
0 6
1 6
2 6
